TransID	Tower	Name	DayNum	Date	Hour	HabitatType	Harvest	Temperature	OrthCaeS	OrthCaeM	OrthCaeL	OrthEnsS	OrthEnsM	OrthEnsL	OrthUnkS	OrthUnkM	OrthUnkL	LepS	LepM	LepL	ColS	ColM	ColL	DipS	DipM	DipL	AntS	AntM	AntL	OthS	OthM	OthL	Total
1	OsBalaguer	MB	10	11/05/2023	10:35	FieldLimit	no	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	2	0	0	9
2	OsBalaguer	MB	10	11/05/2023	10:53	wild	NA	14	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	8
3	OsBalaguer	MB	10	11/05/2023	11:00	FieldLimit	No	14	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	2	0	0	3	0	0	10
4	OsBalaguer	MB	10	11/05/2023	11:44	Wild	NA	14	0	6	1	0	2	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	20
5	OsBalaguer	MB	10	11/05/2023	11:15	Wild	NA	14	3	4	0	1	1	0	9	3	0	1	0	0	0	0	0	1	0	0	4	0	0	10	1	0	38
6	OsBalaguer	MB	10	11/05/2023	11:26	FieldLimit	No	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	8	0	0	12
1	Rabinat	MB	10	11/05/2023	13:30	Wild	NA	18	0	1	0	0	0	0	1	0	0	0	1	0	50	0	0	0	0	0	5	0	0	7	0	0	65
2	Rabinat	MB	10	11/05/2023	13:21	wild	NA	18	0	3	0	0	4	0	0	6	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	18
3	Rabinat	MB	10	11/05/2023	13:45	FieldLimit	no	18	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	1	0	0	6	0	0	12
4	Rabinat	MB	10	11/05/2023	13:37	FieldLimit	No	18	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	55	0	0	53	1	0	113
5	Rabinat	MB	10	11/05/2023	13:55	Wild	NA	18	7	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	4	0	0	16	0	0	31
6	Rabinat	MB	10	11/05/2023	14:03	Wild	NA	18	2	0	0	0	0	0	1	0	0	0	1	0	6	0	0	1	0	0	7	0	0	10	0	0	28
1	Cadolles	AJ	17	18/05/2023	12:14	FieldLimit	Yes	19	8	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	22
2	Cadolles	AJ	17	18/05/2023	12:25	FieldLimit	Yes	19	4	6	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	15	0	0	1	0	1	30
3	Cadolles	AJ	17	18/05/2023	12:31	FieldLimit	Yes	19	3	1	0	0	0	0	6	1	0	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	17
4	Cadolles	AJ	17	18/05/2023	12:37	Wild	NA	19	5	5	0	0	0	0	3	2	0	0	0	0	3	0	0	4	0	0	21	0	0	1	0	1	45
5	Cadolles	AJ	17	18/05/2023	12:44	Wild	NA	19	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	10
6	Cadolles	AJ	17	18/05/2023	12:50	Wild	NA	19	2	0	0	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	118	0	0	2	0	0	129
1	OsBalaguer	MB	17	18/05/2023	13:55	FieldLimit	No	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	11	0	0	15
2	OsBalaguer	MB	17	18/05/2023	14:07	Wild	NA	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	8
3	OsBalaguer	MB	17	18/05/2023	14:03	FieldLimit	No	20	2	0	0	1	0	0	0	0	0	0	2	0	1	0	0	5	0	0	0	0	0	8	1	0	20
4	OsBalaguer	MB	17	18/05/2023	14:25	Wild	NA	20	0	5	0	0	0	0	1	4	0	0	0	0	1	0	0	3	1	0	0	0	0	13	1	0	29
5	OsBalaguer	MB	17	18/05/2023	14:33	Wild	NA	20	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	0	0	15	0	0	23
6	OsBalaguer	MB	17	18/05/2023	14:41	FieldLimit	No	20	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	1	0	0	3	0	0	10
1	Rabinat	AJ	17	18/05/2023	10:15	Wild	NA	15	0	6	0	0	0	0	11	3	0	3	1	0	0	0	0	4	0	0	0	0	0	0	0	0	28
2	Rabinat	AJ	17	18/05/2023	10:21	Wild	NA	15	2	2	0	0	0	0	3	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	14
3	Rabinat	AJ	17	18/05/2023	10:28	FieldLimit	No	15	4	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
4	Rabinat	AJ	17	18/05/2023	10:32	FieldLimit	No	15	1	3	0	0	0	0	6	5	0	0	0	0	2	0	0	1	0	0	50	0	0	0	1	0	69
5	Rabinat	AJ	17	18/05/2023	10:00	Wild	NA	14	3	1	0	0	0	0	5	0	0	0	0	0	4	2	0	5	0	0	102	0	0	2	0	0	124
6	Rabinat	AJ	17	18/05/2023	10:06	Wild	NA	14	2	2	0	1	0	0	5	1	0	0	2	0	7	0	0	1	0	0	3	0	0	0	0	0	24
1	TossalFonta	MB	17	18/05/2023	10:55	FieldLimit	No	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	5	0	0	14
2	TossalFonta	MB	17	18/05/2023	11:07	FieldLimit	No	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	5	0	0	13
3	TossalFonta	MB	17	18/05/2023	11:14	FieldLimit	No	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	4	0	0	17
4	TossalFonta	MB	17	18/05/2023	11:27	wild	NA	17	17	3	0	0	0	0	5	0	0	0	1	0	5	0	0	3	0	0	51	0	0	1	1	0	87
5	TossalFonta	MB	17	18/05/2023	11:23	Wild	NA	17	2	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	5	0	103	0	0	6	0	0	121
6	TossalFonta	MB	17	18/05/2023	11:28	Wild	NA	17	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	64	0	0	12	0	0	94
1	TossalRodo	AJ	17	18/05/2023	13:42	FieldLimit	No	21	4	2	0	0	1	0	2	1	0	0	1	0	0	0	0	5	0	0	3	0	0	10	0	0	29
2	TossalRodo	AJ	17	18/05/2023	13:50	FieldLimit	No	21	2	2	1	0	0	0	10	2	0	0	0	0	1	0	0	4	0	0	1	0	0	4	0	0	27
3	TossalRodo	AJ	17	18/05/2023	13:56	FieldLimit	No	22	10	3	0	0	0	0	4	4	0	0	2	0	0	0	0	4	0	0	1	0	0	7	0	0	35
4	TossalRodo	AJ	17	18/05/2023	14:05	Wild	NA	22	3	0	0	0	0	0	7	2	0	0	0	0	0	0	0	13	0	0	21	0	0	2	0	0	48
5	TossalRodo	AJ	17	18/05/2023	14:10	Wild	NA	22	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	7	0	0	3	0	0	2	0	1	16
6	TossalRodo	AJ	17	18/05/2023	14:15	Wild	NA	22	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	12	0	0	6	0	0	0	0	0	23
1	PlaRoquis	AJ	24	25/05/2023	11:23	Wild	NA	17	7	3	0	1	0	0	5	0	0	1	0	0	0	0	0	4	0	0	41	0	0	2	0	0	64
2	PlaRoquis	AJ	24	25/05/2023	11:16	Wild	NA	17	10	3	0	0	1	0	9	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	30
3	PlaRoquis	AJ	24	25/05/2023	11:09	Wild	NA	17	4	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	2	0	12
4	PlaRoquis	MP	24	25/05/2023	11:06	FieldLimit	Yes	17	21	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	98	0	0	3	0	0	124
5	PlaRoquis	MP	24	25/05/2023	11:15	FieldLimit	Yes	17	18	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	23	0	0	1	0	0	47
6	PlaRoquis	MP	24	25/05/2023	11:23	FieldLimit	Yes	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	102	0	0	0	0	0	114
1	RocaGuilla	AJ	24	25/05/2023	12:35	Wild	NA	19	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	12
2	RocaGuilla	AJ	24	25/05/2023	12:30	Wild	NA	19	7	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	105	0	0	0	0	0	119
3	RocaGuilla	AJ	24	25/05/2023	12:00	FieldLimit	No	17	6	1	0	0	0	0	8	1	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	1	22
4	RocaGuilla	AJ	24	25/05/2023	12:07	FieldLimit	No	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	8
5	RocaGuilla	AJ	24	25/05/2023	12:11	Wild	NA	18	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	23	0	0	0	1	0	30
6	RocaGuilla	AJ	24	25/05/2023	12:18	FieldLimit	No	18	12	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22
1	ValldelsPous	AJ	24	25/05/2023	9:54	FieldLimit	No	16	1	1	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	22	0	0	0	0	0	41
2	ValldelsPous	AJ	24	25/05/2023	9:59	FieldLimit	No	16	3	0	0	1	0	0	9	1	0	0	0	0	0	0	0	1	0	0	32	0	0	1	0	0	48
3	ValldelsPous	AJ	24	25/05/2023	10:06	FieldLimit	No	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	181	0	0	1	0	0	188
4	ValldelsPous	AJ	24	25/05/2023	10:13	Wild	NA	16	13	1	0	0	1	0	6	0	0	0	1	0	1	0	0	3	0	0	102	0	0	0	0	0	128
5	ValldelsPous	MP	24	25/05/2023	10:16	Wild	NA	16	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	6	0	0	105
6	ValldelsPous	MP	24	25/05/2023	10:05	Wild	NA	16	69	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	63	0	0	3	0	0	140
1	TossalRodo	AJ	30	31/05/2023	13:39	FieldLimit	No	26	5	2	0	0	0	0	13	1	0	0	0	0	1	0	0	3	0	0	5	0	0	4	0	0	34
2	TossalRodo	AJ	30	31/05/2023	13:47	FieldLimit	No	26	4	4	1	0	0	0	10	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	27
3	TossalRodo	AJ	30	31/05/2023	13:53	FieldLimit	No	26	13	7	0	0	0	0	17	3	0	0	4	0	1	0	0	3	0	0	0	0	0	1	0	0	49
4	TossalRodo	AJ	30	31/05/2023	14:05	Wild	NA	27	3	2	0	0	0	0	10	1	0	0	2	0	1	0	0	5	0	0	2	0	0	2	0	0	28
5	TossalRodo	AJ	30	31/05/2023	14:11	Wild	NA	27	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	19
6	TossalRodo	AJ	30	31/05/2023	14:15	Wild	NA	27	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	1	0	6	0	0	1	0	0	16
1	Cadolles	AJ	31	01/06/2023	12:56	FieldLimit	Yes	19	8	2	0	0	0	0	2	2	0	0	1	0	0	0	0	2	0	0	4	0	0	5	0	0	26
2	Cadolles	AJ	31	01/06/2023	13:00	FieldLimit	Yes	19	4	1	0	0	0	0	1	0	0	0	1	0	2	0	0	3	0	0	7	0	0	5	0	0	24
3	Cadolles	AJ	31	01/06/2023	13:07	FieldLimit	Yes	19	7	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	6	0	0	4	0	0	25
4	Cadolles	AJ	31	01/06/2023	13:17	Wild	NA	19	2	1	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0	165	0	0	6	0	0	181
5	Cadolles	AJ	31	01/06/2023	13:12	Wild	NA	19	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	4	0	0	13
6	Cadolles	AJ	31	01/06/2023	13:22	Wild	NA	19	4	2	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	9	0	0	3	1	0	24
1	Rabinat	AJ	31	01/06/2023	11:40	Wild	NA	18	1	1	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	10	0	0	7	0	8	37
2	Rabinat	AJ	31	01/06/2023	11:45	Wild	NA	18	6	2	0	0	0	0	6	2	0	0	0	0	1	0	0	1	0	0	3	0	0	10	1	0	32
3	Rabinat	AJ	31	01/06/2023	11:51	FieldLimit	No	18	5	1	0	0	0	0	6	1	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	19
4	Rabinat	AJ	31	01/06/2023	11:56	FieldLimit	No	18	3	5	0	0	0	0	5	4	0	0	0	0	0	0	0	1	0	0	51	0	0	3	0	0	72
5	Rabinat	AJ	31	01/06/2023	12:03	Wild	NA	18	2	1	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	124	0	0	0	0	2	139
6	Rabinat	AJ	31	01/06/2023	12:06	Wild	NA	18	3	2	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	83	0	0	0	0	1	94
1	OsBalaguer	AJ	32	02/06/2023	13:20	FieldLimit	No	24	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	1	0	17
2	OsBalaguer	AJ	32	02/06/2023	13:31	Wild	NA	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	1	0	14
3	OsBalaguer	AJ	32	02/06/2023	13:35	FieldLimit	No	24	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	15	0	0	0	0	0	2	0	0	21
4	OsBalaguer	AJ	32	02/06/2023	12:58	Wild	NA	22	6	6	0	0	1	0	6	5	0	0	1	0	2	0	0	10	0	0	0	0	0	1	1	0	39
5	OsBalaguer	AJ	32	02/06/2023	13:05	Wild	NA	22	5	6	0	0	0	0	4	3	0	0	0	0	1	0	0	10	0	0	0	0	0	12	0	0	41
6	OsBalaguer	AJ	32	02/06/2023	13:11	FieldLimit	No	22	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	11	0	0	0	0	0	4	1	0	29
1	PlaRoquis	AJ	32	02/06/2023	9:14	Wild	NA	17	6	4	0	0	1	0	14	4	0	0	0	0	1	0	0	1	0	0	53	0	0	7	0	0	91
2	PlaRoquis	AJ	32	02/06/2023	9:22	Wild	NA	17	1	1	0	0	0	0	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	20
3	PlaRoquis	AJ	32	02/06/2023	9:28	Wild	NA	18	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	13
4	PlaRoquis	AJ	32	02/06/2023	9:33	FieldLimit	Yes	18	1	4	0	0	1	0	4	3	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	18
5	PlaRoquis	AJ	32	02/06/2023	9:38	FieldLimit	Yes	18	2	1	1	1	0	0	5	0	0	0	0	0	1	0	0	1	0	0	124	0	0	6	0	1	143
6	PlaRoquis	AJ	32	02/06/2023	9:45	FieldLimit	No	18	3	1	0	0	0	0	5	0	1	0	0	0	1	0	0	2	0	0	276	0	0	1	0	0	290
1	RocaGuilla	AJ	32	02/06/2023	11:03	Wild	NA	21	6	6	0	0	0	0	6	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	25
2	RocaGuilla	AJ	32	02/06/2023	11:11	Wild	NA	21	10	6	1	0	1	0	6	5	0	0	0	0	0	0	0	1	0	0	22	0	0	0	0	1	53
3	RocaGuilla	AJ	32	02/06/2023	11:21	FieldLimit	No	22	7	3	1	0	0	0	6	5	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	3	31
4	RocaGuilla	AJ	32	02/06/2023	11:26	FieldLimit	No	22	7	2	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	20
5	RocaGuilla	AJ	32	02/06/2023	11:31	Wild	NA	22	8	6	0	0	0	0	7	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	28
6	RocaGuilla	AJ	32	02/06/2023	11:38	FieldLimit	No	22	12	15	1	0	0	0	5	3	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	40
1	TossalFonta	AJ	37	07/06/2023	13:35	FieldLimit	No	24	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	3	0	0	14	0	0	10	1	0	31
2	TossalFonta	AJ	37	07/06/2023	13:42	FieldLimit	No	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	9	0	0	7	0	0	19
3	TossalFonta	AJ	37	07/06/2023	13:47	FieldLimit	No	24	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	10	0	0	2	1	0	19
4	TossalFonta	AJ	37	07/06/2023	13:57	Wild	NA	24	14	3	0	0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	9	0	0	6	0	0	39
5	TossalFonta	AJ	37	07/06/2023	14:05	Wild	NA	24	8	7	0	0	0	0	5	2	0	0	1	0	2	0	0	1	0	0	4	0	0	2	0	0	32
6	TossalFonta	AJ	37	07/06/2023	14:10	Wild	NA	25	19	1	0	2	0	0	5	0	0	0	2	0	1	0	0	0	0	0	3	0	0	14	0	1	48
1	ValldelsPous	AJ	39	09/06/2023	9:55	FieldLimit	Yes	21	2	1	0	1	0	0	13	3	0	0	0	0	0	0	0	3	0	0	21	0	0	7	0	0	51
2	ValldelsPous	AJ	39	09/06/2023	10:01	FieldLimit	Yes	21	4	0	0	2	0	0	3	1	0	0	0	0	0	0	0	4	0	0	2	0	0	3	0	0	19
3	ValldelsPous	AJ	39	09/06/2023	10:07	FieldLimit	Yes	21	4	0	0	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	28	0	0	6	0	0	44
4	ValldelsPous	AJ	39	09/06/2023	10:21	Wild	NA	22	13	1	0	0	0	0	10	1	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	31
5	ValldelsPous	AJ	39	09/06/2023	10:27	Wild	NA	22	9	0	1	0	0	0	10	1	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	28
6	ValldelsPous	AJ	39	09/06/2023	10:14	Wild	NA	21	28	1	0	0	0	0	19	1	0	0	0	0	1	0	0	2	0	0	2	0	0	2	0	0	56
1	Cadolles	AJ	42	12/06/2023	12:01	FieldLimit	Yes	24	1	1	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	9	0	0	4	1	0	22
2	Cadolles	AJ	42	12/06/2023	12:07	FieldLimit	Yes	24	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	19	0	0	1	0	0	26
3	Cadolles	AJ	42	12/06/2023	12:13	FieldLimit	Yes	24	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	5	0	0	1	0	0	15
4	Cadolles	AJ	42	12/06/2023	12:19	Wild	NA	24	3	1	0	0	0	0	1	0	0	0	2	0	1	0	0	11	0	0	214	0	0	1	0	0	234
5	Cadolles	AJ	42	12/06/2023	12:25	Wild	NA	24	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	4	0	0	1	0	0	18
6	Cadolles	AJ	42	12/06/2023	12:30	Wild	NA	25	4	4	0	0	0	0	0	1	0	0	0	0	1	0	0	9	0	0	71	0	0	2	0	0	92
1	PlaRoquis	AJ	43	13/06/2023	11:14	Wild	NA	22	0	2	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	33	0	0	3	0	0	45
2	PlaRoquis	AJ	43	13/06/2023	11:06	Wild	NA	22	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0	0	24
3	PlaRoquis	AJ	43	13/06/2023	10:59	Wild	NA	22	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	10
4	PlaRoquis	AJ	43	13/06/2023	10:52	FieldLimit	Yes	22	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0	0	28
5	PlaRoquis	AJ	43	13/06/2023	10:43	FieldLimit	Yes	21	10	5	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	0	0	36
6	PlaRoquis	AJ	43	13/06/2023	10:21	FieldLimit	Yes	21	4	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	81	0	0	9	0	0	99
1	TossalRodo	AJ	43	13/06/2023	13:35	FieldLimit	No	24	2	10	0	0	0	0	1	0	1	0	0	0	1	0	0	10	0	0	4	0	0	5	0	0	34
2	TossalRodo	AJ	43	13/06/2023	13:42	FieldLimit	No	24	6	0	0	0	0	0	6	1	0	0	0	0	0	0	0	14	0	0	26	0	0	2	0	0	55
3	TossalRodo	AJ	43	13/06/2023	13:48	FieldLimit	No	24	5	3	2	0	0	0	2	1	0	0	0	0	0	0	0	11	0	0	0	0	0	13	0	0	37
